iter_id,date,status,objective,cases,split_mode,train_fraction,seed_range,variants,best_variant,best_r2_val_totsomc_median,best_r2_val_totsomn_median,best_rmse_ratio_totsomc_median,best_overfit_warning_frac_totsomc,output_root,summary_root,notes
iter001,2026-07-13,completed,"Assess overfitting controls and feature ablations across 5 variants","ABBY_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10100,"baseline|tuned_nn|no_clim|reduced_clim|rf_constrained",tuned_nn,0.6383,0.6374,0.9202,0.41,"/pscratch/sd/t/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter001","tuned_nn/no_clim/reduced_clim were numerically identical; diagnostics show only parm_0..parm_13 selected"
iter002,2026-07-15,failed,"Multicase NN feature attribution under by_member split","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10030,"multi_all|multi_params_surface|multi_params_clim|multi_params_only",NA,NA,NA,NA,NA,"/pscratch/sd/t/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter002","Initial run: widespread TIMEOUT at --time=00:05:00 (multi_all 5/30; others 4/30). One retry pilot (job 55950336) at --time=00:15:00 also timed out (1 completed, 1 timeout, remaining cancelled). Iteration remains blocked without aggregation"
iter003,2026-07-15,failed,"Efficiency-first parallelism tuning and timeout-risk reduction for multicase NN pilot","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10005,"multi_all pilot; retry n_jobs=8",NA,NA,NA,NA,NA,"/pscratch/sd/t/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter003","Runtime gate failed: initial n_jobs=4 pilot had seed 10002 TIMEOUT at 00:20:21; retry n_jobs=8 had 4/5 TIMEOUT at 00:20:09-00:20:22. Memory remained near 42GB cap and seff CPU efficiency was 0.26-0.42%. No quality aggregation or full matrix submission"
iter004,2026-07-16,failed,"Source-level memory and I/O debugging for multicase NN pilot","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001,"multi_all diagnostic; source-fix retry",NA,NA,NA,NA,NA,"/pscratch/sd/t/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter004","Diagnostic completed but failed memory-headroom gate at 41.97/42GB; per-case preparation dominated. Combined xarray forcing-load retry completed in 26:18 versus 19:19 and did not improve memory. No quality pilot or broad matrix"
iter005,2026-07-16,completed,"Nine-case NN feature attribution and model-performance comparison","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10005,"multi_all|multi_params_surface|multi_params_clim|multi_params_only",multi_all,0.5892,0.5892,1.0000,0.0,"/pscratch/sd/t/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter005","All 20 tasks completed. multi_all ranked first for both targets; climatology ablation ranked second. Stable features included parm_6, parm_13, parm_9, parm_12, parm_10, PCT_SAND, FSDS_clim_mean, PRECTmms_clim_mean, and RH_clim_seasonal_amp. Iter001 retained as historical context only"
iter006,2026-07-17,completed,"Nine-case feature-set settling with explicit subset validation","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10005,"all_control|core_params_all_surface_all_clim|all_params_all_surface_core_clim|core_tri_group",all_control,0.5892,0.5892,1.0000,0.0,"/pscratch/sd/t/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter006","all_control, all_params_all_surface_core_clim, and core_tri_group completed (5 seeds each). core_params_all_surface_all_clim was intentionally rejected (2 FAILED, 3 CANCELLED) because requested explicit features were unavailable after variance/correlation filtering. No reduced set passed the r2/tail gates; retain all_control for iter007."
iter007,2026-07-20,completed,"Fixed-feature nine-case MLP hyperparameter tuning","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10005,"s08_tanh_adam_a10_lr1e3|s16_tanh_adam_a50_lr1e3|s24_relu_adam_a50_lr5e4|s32_tanh_lbfgs_a10_lr1e3|d08_08_tanh_adam_a10_lr1e3|d16_08_tanh_adam_a50_lr1e3|d16_16_relu_adam_a50_lr5e4|d32_16_tanh_adam_a100_lr1e3",s08_tanh_adam_a10_lr1e3,0.5892,0.5892,1.0000,0.0,"/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter007","Cache-isolated retry leaves 23346857_5 and 23346858_2 completed, restoring 40/40 stats files. Corrected aggregation job 23346902 completed and wrote all eight summary/stability pairs. s08_tanh_adam_a10_lr1e3 was the only gate passer and exactly reproduces the iter006 all_control baseline."
iter008,2026-07-22,completed,"Global correlation pruning and LBFGS regularization","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10005,"s08 Adam x 3 policies|LBFGS alpha 50,100,250,500,1000 x 3 policies",s32_tanh_lbfgs_a50_lr1e3_full45,0.7935,0.7937,0.9499,0.0,"/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter008","All 90 leaves and aggregation 23362489 completed. Full45/corr080/corr060 schemas were seed-invariant at 45/25/21 features. Alpha-50 full45 ranked first of six gate passers."
iter009,2026-07-22,completed,"LBFGS alpha-50 refinement and forcing-group ablation","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10005,"LBFGS alpha 25,35,50,65,75 x full45|corr080_prioritydrop|drop_flds_wind_psrf",s32_tanh_lbfgs_a50_lr1e3_full45,0.7935,0.7937,0.9499,0.0,"/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter009","All 75 leaves and aggregation 23371111 completed without retry. Alpha 25/35 improved R2 but failed the zero-warning gate; alpha-50 full45 ranked first of three passers and was retained."
iter010,2026-07-24,completed,"100-seed LBFGS warning-threshold bracket and importance stability","ABBY_ppe6_I20TRCNPRDCTCBC,JERC_ppe6_I20TRCNPRDCTCBC,OSBS_ppe6_I20TRCNPRDCTCBC,SOAP_ppe6_I20TRCNPRDCTCBC,RMNP_ppe6_I20TRCNPRDCTCBC,TALL_ppe6_I20TRCNPRDCTCBC,TEAK_ppe6_I20TRCNPRDCTCBC,WREF_ppe6_I20TRCNPRDCTCBC,YELL_ppe6_I20TRCNPRDCTCBC",by_member,0.8,10001-10100,"LBFGS alpha 40,42.5,45,47.5,50 x full45|corr080_prioritydrop|drop_flds_wind_psrf",NA,NA,NA,NA,NA,"/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/UQ_output","development/spinup_surrogate/summaries/iter010","All 1,500 corrected leaves and aggregate 23399438 completed. Exact validation passed; every variant warned on 22-25% of seeds and failed the locked zero-warning gate. No promotion; retain iter009 alpha-50 full45."
