iteration_id,closed_at,status,work_type,objective,bounded_scope,acceptance_result,decision,upstream_dependencies,output_root,summary_path,closeout_mode,closeout_identity,notes
iter001,2026-08-03T14:52:55-07:00,completed,implementation,Historical nine-site SR forcing-surrogate offline baseline,Nine sites; SR; random_time_window; seeds 10001-10100; pooled/per-site metrics; eight-repeat pooled permutation importance; no coupling or saved-artifact inference,pass,Technical offline baseline validated; predictive quality characterized; coupling readiness not established,source=1f71df1bf801b9fec152acdca063204554fbfe4fbb1d3d1562204d2bb10be7a6;dependency=e718a00fcccb361c5e70ca89dc51b558aa7dc7611d4e198ef31b357ca08fb1c9;production_config=ef9b837bcdeb85ea96438ac6e9321a37623aa13ac9156d9ed96d5c942c104246,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter001,committed,controlled_paths_manifest_sha256=034d2a350ebdacccb67ab972b933771ee96d85a2d0196f33c1e65660b81f1f35,Replacement production 23476164 and aggregation 23489654 completed; warning_fraction=0; no next iteration proposed
iter002,2026-08-05T11:31:02-0700,completed,implementation,Identity-locked forcing-surrogate-v1 full-data release with inference validation,Nine sites; SR; full-data forcing-surrogate-v1; 8-repeat full-data importance; inference validation; ABBY operational predict; no live coupling,pass,Standalone forcing-surrogate-v1 artifact identity-locked and inference-validated; full-data importance characterized; live coupling readiness not established,source_manifest=ea7ec3f35b452c78b21ac710079004dcd083867c95d4262342c6bc4a8bf46ab2;memmap=01ef038fc41122b65fd40fe06fa2ee31ed9ffd5a16269cbb7a2880f7d4b5b7f6;layout=a6ea4151c5be02e86d50dd8767cd579b8804c94803162f0246797487dd2dd2b0;artifact=8d139b32473eebe3f75f77042e542f49ec3c80e89bc65c76b2e98a5c70f4553e;inference_summary=44e493d65b770aedec83ef2d75978c2ff7857f49fe0c79550df848c87af3c20e,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter002,committed,controlled_paths_manifest_sha256=a19ff37aae6ca6397cf53738e337c92516bdadfa602ef2a2f7fc150534c167e5,Amended release 23501708 and authoritative validate 23507103 passed; historical release 23497577 failed reproduction; duplicate validates cancelled; next plan proposes iter003
iter003,2026-08-05T20:30:09-0700,completed,implementation,Coupled spinup–forcing dual-variant ELM PPE SR comparison,Nine sites; both spinup variants; ABBY×5 pilot timeseries ON; 9×100×both full timeseries OFF; MCMC-ready CLI; ELM compare; no skill floor,pass,Executable dual-variant coupled path demonstrated with ELM comparison evidence; predictive scores characterized; production MCMC readiness not established,forcing=8d139b32473eebe3f75f77042e542f49ec3c80e89bc65c76b2e98a5c70f4553e;drop32=56bbd151103add74b5a0794e8d1bf4496c186d3a72e70b1b65c5ab247abd317e;drop21_corr080=1427dc565af858e9c089a5b9545a7f127e42789ef1fe5c9af3af7f8cb12a3023,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter003,committed,controlled_paths_manifest_sha256=2e1326657f72378c873a605bafd0daa8ca55c55706edacb6e5c0ad21fca2123c,Preflight 23510375 / pilot 23510419 / full 23510434 array 1-9 / validate 23510503 passed; historical fails 23510366 and 23510415 classified; closeout commit 930bd335ad071faa890541199f4b46be8f5bda83; next plan proposes iter004 MCMC integration (no campaign)
iter004,2026-08-06T17:59:11-0700,completed,implementation,Offline forcing versus coupled dual-variant ELM PPE SR comparison,Nine sites; offline + drop32 + drop21_corr080; 9×100 timeseries ON; four-figure plot package; no skill floor,pass,"Offline-versus-coupled comparison completed with metrics, timeseries, and plot package; predictive scores characterized; production MCMC readiness not established",forcing=8d139b32473eebe3f75f77042e542f49ec3c80e89bc65c76b2e98a5c70f4553e;drop32=56bbd151103add74b5a0794e8d1bf4496c186d3a72e70b1b65c5ab247abd317e;drop21_corr080=1427dc565af858e9c089a5b9545a7f127e42789ef1fe5c9af3af7f8cb12a3023,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter004,committed,controlled_paths_manifest_sha256=d258132a71a8fba4e4291cdc4d2cffc0f3b2b7acba41ae0e08da70283ed419c2,Preflight 23515370 / full 23515500 array 1-9 / validate 23515820 passed; next plan proposes iter005 MCMC integration (no campaign)
iter005,2026-08-06T19:42:02-0700,completed,implementation,Mean-spinup offline forcing baseline versus Iter004 arms,Nine sites; mean-spinup offline 9×100 timeseries ON; overlay Iter004 three arms; two annotated plot types; joined medians CSV; no skill floor,pass,Mean-spinup offline baseline compared with Iter004 arms under locked plot/summary contract; predictive scores characterized; production MCMC readiness not established,forcing=8d139b32473eebe3f75f77042e542f49ec3c80e89bc65c76b2e98a5c70f4553e;iter004_reuse=iter005_iter004_reuse.sha256,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter005,committed,controlled_paths_manifest_sha256=45039a40b7abef1a99211e419638bee6cf3cc63e1e859e8d84e1d029a5a94f9e,Preflight 23516340 / full 23516376 array 1-9 / validate 23516504 passed; next plan proposes iter006 MCMC integration (no campaign)
iter006,2026-08-06T21:11:23-0700,completed,implementation,MCMC three-mode spinup wiring (mean / member-restart / coupled),ABBY smoke; three MCMC spinup modes; coupled drop32/drop21_corr080; <=10 likelihood evals/mode; no production campaign,pass,MCMC can select and call locked coupling/offline primitives under each declared spinup mode; mean/member-restart paths still work; production campaign readiness not established,forcing=8d139b32473eebe3f75f77042e542f49ec3c80e89bc65c76b2e98a5c70f4553e;drop32=56bbd151103add74b5a0794e8d1bf4496c186d3a72e70b1b65c5ab247abd317e;drop21_corr080=1427dc565af858e9c089a5b9545a7f127e42789ef1fe5c9af3af7f8cb12a3023,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter006,committed,controlled_paths_manifest_sha256=eb03d2c4954f63c4dbdf9574245146119f0b48763a38bad1ab2a0a9d2aeb563a,Preflight 23516816 / validate 23516840 passed; next plan proposes iter007 production MCMC campaign
iter007,2026-08-08T15:13:30-0700,completed,implementation,Joint ABBY+JERC coupled/drop21_corr080 SR MCMC campaign,ABBY+JERC joint; coupled drop21_corr080; SR; 64x500; flat campaign layout; suggested diagnostics; integrity-only,pass,Joint ABBY+JERC production MCMC campaign executed successfully through the locked coupled interface and wrote required products; diagnostic contents are characterization only; calibrated scientific adequacy not claimed,forcing=8d139b32473eebe3f75f77042e542f49ec3c80e89bc65c76b2e98a5c70f4553e;drop21_corr080=1427dc565af858e9c089a5b9545a7f127e42789ef1fe5c9af3af7f8cb12a3023;obs_abby=e5f7b6795616e3dbb2f24ef351d84f79da29847e82729db09d8756b3d9a1fdb2;obs_jerc=a5507878801b83c14a1583a4b9f69a039bee748d8a2da2c50073e5fb94ab2c1f,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter007,committed,controlled_paths_manifest_sha256=5c1b136b344ffada3e69b8c7f6201b71334288963d549b6eb9c8abcca219be85,Preflight 23520801 / campaign 23523645 (after 23520817 TIMEOUT+OOM and 23523589 postprocess fail) / validate 23523701 passed; next plan proposes iter008 diagnostic-driven MCMC improvement
iter008,2026-08-09T14:56:00-0700,completed,implementation,Single-site ABBY and JERC coupled/drop21_corr080 SR MCMC diagnostic campaign,ABBY and JERC separately; coupled drop21_corr080; SR; 64x4000; seed 8008; raw-chain diagnostics; integrity-only,pass,sampler-limited,forcing=8d139b32473eebe3f75f77042e542f49ec3c80e89bc65c76b2e98a5c70f4553e;drop21_corr080=1427dc565af858e9c089a5b9545a7f127e42789ef1fe5c9af3af7f8cb12a3023;obs_abby=e5f7b6795616e3dbb2f24ef351d84f79da29847e82729db09d8756b3d9a1fdb2;obs_jerc=a5507878801b83c14a1583a4b9f69a039bee748d8a2da2c50073e5fb94ab2c1f2,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter008,committed,controlled_paths_manifest_sha256=cf22ae1a1f3d6fa147a81cd408cb3aa5300819b252a6f09570275a672a27c904,Preflight 23527081 / ABBY 23527105 / JERC 23527106 / validate 23527337 passed; raw-chain diagnostics are characterization only; no scientific quality hard gate
iter009,2026-08-11T14:20:00-07:00,completed,implementation,ABBY and JERC sampler-geometry pilot,ABBY/JERC sampler-geometry pilot; B/T/I/M/TIM; 30 chains; 64x8000; seeds 9009-9011,pass,investigate_multimodality_nonidentifiability_likelihood_or_model_structure,forcing=8d139b32473eebe3f75f77042e542f49ec3c80e89bc65c76b2e98a5c70f4553e;spinup=1427dc565af858e9c089a5b9545a7f127e42789ef1fe5c9af3af7f8cb12a3023;obs_abby=e5f7b6795616e3dbb2f24ef351d84f79da29847e82729db09d8756b3d9a1fdb2;obs_jerc=a5507878801b83c14a1583a4b9f69a039bee748d8a2da2c50073e5fb94ab2c1f,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter009,committed,closeout_commit=9780b9b,"48 submitted tasks with user-approved exception attempts; Iter009 closeout commit 9780b9b verified; next plan is the approved Iter010 TIM topology diagnosis."
iter010,2026-08-12T20:05:00-07:00,completed,implementation,TIM terminal-partition topology diagnosis,Six immutable TIM chains; ABBY/JERC; seeds 9009-9011; terminal/rolling topology diagnostics; conditional prediction skip,pass,ABBY and JERC two_basin_declined; forced terminal screen declined as evidence for two physical basins; replace the screen, reassess TIM/JERC, and route to ABBY proposal-scale Experiment 5,raw_chain_manifest=iter010_source_manifest.json;preflight=23554607;topology=23554935;predict=23555136;finalize=23555187,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter010,committed,expected_parent=ed42024d513f879d7dd88c998944b80f79b02ebe;expected_subject=Correct Iter010 closeout records;validator=validate_iter010_handoff.sh,"All four Iter010 jobs completed 0:0; comprehensive topology/skip evidence and exact durable-record agreement complete; corrective commit is verified externally to avoid circular identity."
iter011,2026-08-14T15:05:00-07:00,completed,implementation,Site-specific TIM DE-scale and hourly-versus-daily likelihood-resolution pilot at ABBY and JERC,ABBY/JERC separately; hourly/daily likelihood; DEMove scales 0.50/0.75/1.00; seeds 9009-9011; 36 64x8000 chains,pass,ABBY preferred_configuration_supported daily_0.75; JERC inconclusive_metric_tradeoff with no selected configuration,preflight=23561067;campaign=36 terminal passes;aggregate=23565465;aggregate_v1-v4_preserved,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling,development/spinup_forcing_coupling/summaries/iter011,committed,expected_subject=Close Iter011 likelihood-resolution pilot;validator=validate_iter011_handoff.py,"All 36 immutable packages and v5 aggregate passed; ABBY result is future-proposal evidence only, JERC has no selected configuration; failed aggregate materials and partial v3/v4 outputs are preserved."
